Vivado Simulator 2018.3
Time resolution is 1 ps
At time                  546, a = 0001011100101000, b = 0001001101000000, cin = 0, s = 0010101001101000, cout = 0
At time                  548, a = 0001011100101000, b = 0001011100101000, cin = 0, s = 0010111001010000, cout = 0
At time                  550, a = 0001101100010000, b = 0001011100101000, cin = 0, s = 0011001000111000, cout = 0
At time                  552, a = 0001101100010000, b = 0001101100010000, cin = 0, s = 0011011000100000, cout = 0
At time                  554, a = 0001111011111000, b = 0001101100010000, cin = 0, s = 0011101000001000, cout = 0
At time                  556, a = 0001111011111000, b = 0001111011111000, cin = 0, s = 0011110111110000, cout = 0
At time                  558, a = 0010001011100000, b = 0001111011111000, cin = 0, s = 0100000111011000, cout = 0
At time                  560, a = 0010001011100000, b = 0010001011100000, cin = 0, s = 0100010111000000, cout = 0
At time                  562, a = 0010011011001000, b = 0010001011100000, cin = 0, s = 0100100110101000, cout = 0
At time                  564, a = 0010011011001000, b = 0010011011001000, cin = 0, s = 0100110110010000, cout = 0
At time                  566, a = 0010101010110000, b = 0010011011001000, cin = 0, s = 0101000101111000, cout = 0
At time                  568, a = 0010101010110000, b = 0010101010110000, cin = 0, s = 0101010101100000, cout = 0
At time                  570, a = 0010111010011000, b = 0010101010110000, cin = 0, s = 0101100101001000, cout = 0
At time                  572, a = 0010111010011000, b = 0010111010011000, cin = 0, s = 0101110100110000, cout = 0
